Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	rawp	BH
AT2G26695	-2.03435622709015	2.87358372677737	-11.6778440923087	6.75504621204912e-07	5.49521380253717e-05	6.64618601908067	0.00122772633724377	0.0413595138709562
AT2G26940	-2.56061551461084	-3.84620799681479	-4.84333229334786	0.000815216133385951	0.00581028538183969	-0.274728128976326	0.00117709425759882	0.0412091000815381
AT2G27402	-4.2117078923866	1.79311371015759	-10.1802684084203	2.24456996167597e-06	0.000122379865935164	5.42625700665965	0.00123737040451966	0.0413630560178038
AT2G27420	-4.3145339742486	-1.39007512632188	-10.6094037277612	1.56766745836352e-06	9.50573279444316e-05	4.97206705444883	0.000190478842927	0.0344675491483895
AT2G28056	-2.08501239972468	-4.09186319487019	-3.85189479312162	0.00360757315178128	0.016685891669733	-1.55158122345741	0.00223243763350256	0.0470605667562059
AT2G28270	-5.41483937393182	-2.4248888583487	-11.7691452322305	6.30611686248025e-07	5.28721762587105e-05	5.10585546487793	8.43820776466053e-05	0.0344675491483895
AT2G28780	-2.1078312749239	3.47209747619199	-10.772909773898	1.3717756169479e-06	8.69088518572165e-05	5.87421797726066	0.00147403910381483	0.0428615923095361
AT2G28900	-2.15174137233516	6.47361246837129	-13.4163167202752	1.96642704975884e-07	2.67212225459024e-05	7.7540093949229	0.00184620738056918	0.0457203767946935
AT2G29090	-2.29812804985863	0.671033161393977	-7.80179275801395	2.13495457004501e-05	0.000513824034487309	3.26738086672397	0.0016101077130819	0.0440295502386421
AT2G29220	-4.9900423369136	-2.61377754088761	-7.95704000281356	1.8145578720917e-05	0.000461884289094004	2.8704653557248	0.00152532717442266	0.0433670809740899
AT2G29300	-2.03285644286942	4.23713281644626	-13.0767453460146	2.47311039912476e-07	3.15014107568784e-05	7.57851017054742	0.00200834505164726	0.0466712490619673
AT2G30890	-2.20716118899	0.383828737612962	-7.60670349223573	2.62818421289327e-05	0.000585152127044822	3.05852004535826	0.000388602530048576	0.0370044186859767
AT2G32130	-2.73297043082891	-3.76530352561975	-5.28276252753223	0.000441093945595622	0.00380472245129974	0.239949078319906	0.00057807065574611	0.0379367349731012
AT2G32290	-2.50442687181244	0.773797220614555	-8.43121252226618	1.12064656096542e-05	0.00033551446935785	3.8808318150382	0.00240132104800272	0.0476957031875388
AT2G33050	-2.29675549153125	2.65574931120198	-13.992461222357	1.34859636272697e-07	2.12968605728756e-05	8.22936196508232	0.000101947496699673	0.0344675491483895
AT2G33380	-3.78808521845495	4.54260294472134	-21.9636801156524	2.21259795230322e-09	2.54910524087525e-06	12.2320550420287	0.000215005938194901	0.0344675491483895
AT2G34010	-3.39459810396735	0.249484869841102	-10.9214884396123	1.21691532504938e-06	8.07282087038592e-05	5.71520546012204	8.97479137234036e-05	0.0344675491483895
AT2G34210	-3.64963884237562	-3.3115591882079	-6.97498481927882	5.29933000563118e-05	0.000915395348691101	1.95902692795484	0.000859754663471879	0.0397964638909443
AT2G34600	-4.27488027834177	2.34635536002897	-18.9874384112134	8.43255372883743e-09	4.65512101472363e-06	10.3404615381393	0.000162091887647708	0.0344675491483895
AT2G34790	2.22163562356693	2.58810133363161	10.8427761883007	1.29641325472793e-06	8.44038290510579e-05	6.01138507853544	0.00214192793106882	0.0468903662279902
AT2G34810	-3.22185859283284	3.78325949518639	-23.2629417775479	1.30228370927725e-09	2.30052758189523e-06	12.6151449270787	2.83204118207703e-05	0.0344675491483895
AT2G36690	-3.57753580685213	-0.413335906557848	-9.98687041567507	2.6498356092481e-06	0.000137407718148446	4.92056269623468	0.000205433048292347	0.0344675491483895
AT2G36870	-2.08630819850425	2.97560502349526	-13.8503738007097	1.47807375058429e-07	2.25091943925187e-05	8.15796493645552	0.000150718606893196	0.0344675491483895
AT2G37870	2.3431627584381	3.92624508981374	13.0563431646294	2.50784112642325e-07	3.16441781752206e-05	7.60973305175848	0.00106074640751852	0.0407555695209585
AT2G38240	-4.5964813139047	0.024718049586696	-10.9176364490104	1.22067855563974e-06	8.07282087038592e-05	5.58916069879685	0.000641593239202543	0.0379367349731012
AT2G39030	-6.64502559290377	-1.26482117419278	-14.5319930793142	9.59415737550367e-08	1.79032381785983e-05	6.4436475393254	0.000392845560303279	0.0370044186859767
AT2G39250	-2.66508100331051	1.85227053401929	-11.1246610567796	1.03539942481977e-06	7.31627038903312e-05	6.21248994205795	0.00226729631751299	0.0471503476693495
AT2G39330	-4.32837202710896	2.65401565871145	-15.022736633052	7.10947619107671e-08	1.55691652984422e-05	8.69440754948282	0.000152939712963374	0.0344675491483895
AT2G39920	-3.2812719565423	1.12000415746518	-8.88313884820683	7.21858775423473e-06	0.00025435922647834	4.30476682413998	0.00125641356028772	0.0414905540494314
AT2G40435	-2.91303060224668	1.33941801040702	-8.96533232647896	6.67657482803709e-06	0.000243685784839293	4.39849367017053	0.00181751022112042	0.0453383337510105
AT2G40475	-2.22738993835764	2.55828558244957	-12.866014491906	2.8590148113803e-07	3.36600644029739e-05	7.49963809822446	0.000434721342873257	0.0370044186859767
AT2G41090	-3.63101573957545	3.78186772710897	-21.3971780500202	2.81461916549854e-09	2.66363495169215e-06	11.8967757913979	0.000250787136256481	0.0344675491483895
